,Year,Week,Date,value,catcorr,Bay
381,2016,14,2016-08-18,92,1.023099599,Shinnecock
382,2016,14,2016-08-18,55,1.419611821,Shinnecock
383,2016,2,2016-05-26,29,1.888847084,Shinnecock
384,2016,3,2016-06-01,37,1.792410193,Shinnecock
385,2016,3,2016-06-01,35,1.821184158,Shinnecock
386,2016,4,2016-06-10,43,1.686732572,Shinnecock
387,2016,4,2016-06-10,37,1.792410193,Shinnecock
388,2016,4,2016-06-10,43,1.686732572,Shinnecock
389,2016,5,2016-06-17,32,1.858356313,Shinnecock
390,2016,5,2016-06-17,50,1.534401164,Shinnecock
391,2016,5,2016-06-17,51,1.511344179,Shinnecock
392,2016,5,2016-06-17,30,1.879380895,Shinnecock
393,2016,6,2016-06-24,65,1.222917267,Shinnecock
394,2016,6,2016-06-24,58,1.353959245,Shinnecock
395,2016,6,2016-06-24,46,1.624237594,Shinnecock
396,2016,6,2016-06-24,47,1.60231878,Shinnecock
397,2016,6,2016-06-24,41,1.72507236,Shinnecock
398,2016,7,2016-07-01,39,1.760357288,Shinnecock
399,2016,7,2016-07-01,63,1.256570527,Shinnecock
400,2016,8,2016-07-08,34,1.834357323,Shinnecock
401,2016,8,2016-07-08,72,1.130583272,Shinnecock
402,2016,9,2016-07-13,48,1.579981685,Shinnecock
403,2016,9,2016-07-13,67,1.192534974,Shinnecock
404,2016,9,2016-07-13,70,1.1530424,Shinnecock
405,2016,9,2016-07-13,47,1.60231878,Shinnecock
406,2016,9,2016-07-13,46,1.624237594,Shinnecock
407,2016,9,2016-07-13,55,1.419611821,Shinnecock
408,2016,10,2016-07-21,48,1.579981685,Shinnecock
409,2016,11,2016-07-28,87,1.036180632,Shinnecock
410,2016,11,2016-07-28,54,1.44227622,Shinnecock
411,2016,11,2016-07-28,59,1.333117473,Shinnecock
412,2016,12,2016-08-04,65,1.222917267,Shinnecock
413,2016,12,2016-08-04,70,1.1530424,Shinnecock
414,2016,12,2016-08-04,57,1.375371023,Shinnecock
415,2016,14,2016-08-18,74,1.110988139,Shinnecock
416,2016,2,2016-05-26,30,1.879380895,Shinnecock
417,2016,3,2016-06-01,39,1.760357288,Shinnecock
418,2016,3,2016-06-01,31,1.869227139,Shinnecock
419,2016,4,2016-06-10,49,1.557312077,Shinnecock
420,2016,4,2016-06-10,38,1.776793505,Shinnecock
421,2016,5,2016-06-17,27,1.905842296,Shinnecock
422,2016,5,2016-06-17,27,1.905842296,Shinnecock
423,2016,5,2016-06-17,45,1.645659032,Shinnecock
424,2016,5,2016-06-17,41,1.72507236,Shinnecock
425,2016,6,2016-06-24,58,1.353959245,Shinnecock
426,2016,6,2016-06-24,63,1.256570527,Shinnecock
427,2016,6,2016-06-24,57,1.375371023,Shinnecock
428,2016,6,2016-06-24,53,1.465183611,Shinnecock
429,2016,7,2016-07-01,67,1.192534974,Shinnecock
430,2016,8,2016-07-08,34,1.834357323,Shinnecock
431,2016,8,2016-07-08,42,1.706267717,Shinnecock
432,2016,9,2016-07-13,40,1.743111015,Shinnecock
433,2016,9,2016-07-13,50,1.534401164,Shinnecock
434,2016,9,2016-07-13,48,1.579981685,Shinnecock
435,2016,9,2016-07-13,49,1.557312077,Shinnecock
436,2016,9,2016-07-13,80,1.066899923,Shinnecock
437,2016,9,2016-07-13,49,1.557312077,Shinnecock
438,2016,11,2016-07-28,50,1.534401164,Shinnecock
439,2016,11,2016-07-28,56,1.397281537,Shinnecock
440,2016,12,2016-08-04,83,1.051532818,Shinnecock
441,2016,12,2016-08-04,55,1.419611821,Shinnecock
442,2016,14,2016-08-18,53,1.465183611,Shinnecock
443,2016,3,2016-06-01,32,1.858356313,Shinnecock
444,2016,3,2016-06-01,26,1.913436218,Shinnecock
445,2016,4,2016-06-10,47,1.60231878,Shinnecock
446,2016,4,2016-06-10,50,1.534401164,Shinnecock
447,2016,5,2016-06-17,55,1.419611821,Shinnecock
448,2016,5,2016-06-17,22,1.938548348,Shinnecock
449,2016,5,2016-06-17,27,1.905842296,Shinnecock
450,2016,5,2016-06-17,25,1.920471453,Shinnecock
451,2016,6,2016-06-24,53,1.465183611,Shinnecock
452,2016,6,2016-06-24,59,1.333117473,Shinnecock
453,2016,6,2016-06-24,57,1.375371023,Shinnecock
454,2016,6,2016-06-24,43,1.686732572,Shinnecock
455,2016,7,2016-07-01,65,1.222917267,Shinnecock
456,2016,8,2016-07-08,63,1.256570527,Shinnecock
457,2016,8,2016-07-08,44,1.666511679,Shinnecock
458,2016,9,2016-07-13,40,1.743111015,Shinnecock
459,2016,9,2016-07-13,80,1.066899923,Shinnecock
460,2016,9,2016-07-13,73,1.120442198,Shinnecock
461,2016,9,2016-07-13,63,1.256570527,Shinnecock
462,2016,9,2016-07-13,44,1.666511679,Shinnecock
463,2016,11,2016-07-28,55,1.419611821,Shinnecock
464,2016,11,2016-07-28,50,1.534401164,Shinnecock
465,2016,12,2016-08-04,47,1.60231878,Shinnecock
466,2016,12,2016-08-04,83,1.051532818,Shinnecock
467,2016,14,2016-08-18,64,1.239338748,Shinnecock
468,2016,3,2016-06-01,30,1.879380895,Shinnecock
469,2016,4,2016-06-10,47,1.60231878,Shinnecock
470,2016,4,2016-06-10,34,1.834357323,Shinnecock
471,2016,5,2016-06-17,50,1.534401164,Shinnecock
472,2016,5,2016-06-17,28,1.897656828,Shinnecock
473,2016,5,2016-06-17,53,1.465183611,Shinnecock
474,2016,5,2016-06-17,27,1.905842296,Shinnecock
475,2016,6,2016-06-24,37,1.792410193,Shinnecock
476,2016,6,2016-06-24,33,1.846741152,Shinnecock
477,2016,6,2016-06-24,50,1.534401164,Shinnecock
478,2016,6,2016-06-24,52,1.48823882,Shinnecock
479,2016,7,2016-07-01,59,1.333117473,Shinnecock
