pair.no ind1.id ind2.id trioml trioml.low trioml.high
517 71 309 0 0 0.1557
518 71 312 0 0 0.2063
519 71 269 0.023 0 0.2121
520 71 270 0.0734 0 0.3111
521 71 271 0.0285 0 0.202
522 71 272 0 0 0
523 71 273 0.0543 0 0.2399
524 71 274 0 0 0
525 71 275 0 0 0.062
526 71 276 0.0551 0 0.2843
527 71 324 0 0 0.0878
528 71 325 0.0493 0 0.2507
529 71 326 0.0595 0 0.2096
530 71 327 0 0 0
531 71 328 0.0904 0 0.5032
532 71 329 0.065 0 0.3155
533 71 330 0.0296 0 0.1887
534 71 331 0.0187 0 0.2249
535 71 7 0.1913 0.0301 0.4366
536 71 9 0 0 0.0242
537 71 10 0.0338 0 0.1921
538 71 11 0.0671 0 0.3449
539 71 12 0.0027 0 0.1039
540 71 13 0.0748 0 0.2779
541 71 14 0.0672 0 0.3279
542 71 15 0.0778 0 0.4415
543 71 16 0.0835 0 0.504
544 71 17 0.1529 0 0.503
545 71 18 0.0849 0 0.2963
546 71 20 0 0 0.1849
547 71 21 0 0 0.1512
548 71 22 0.1407 0.0303 0.4895
549 71 23 0 0 0.0649
550 71 25 0 0 0.1126
551 71 26 0 0 0.1762
552 71 27 0 0 0
553 71 28 0 0 0.0398
554 71 31 0.0816 0.0376 0.3753
555 71 33 0.1582 0.0015 0.5532
556 71 34 0.0524 0 0.4099
557 71 35 0.0246 0 0.1764
558 71 36 0 0 0
559 71 37 0 0 0.0533
560 71 38 0 0 0.1452
561 71 102 0.0574 0 0.2406
562 71 105 0.0187 0 0.1948
563 71 106 0.0024 0 0.1542
564 71 107 0 0 0.203
565 71 108 0.0786 0 0.5535
566 71 110 0.0336 0 0.3092
567 71 111 0 0 0.1199
568 71 112 0 0 0.1911
569 71 124 0.1227 0 0.4899
570 71 125 0 0 0.2604
571 71 127 0.0264 0 0.2549
572 71 129 0.0213 0 0.2914
573 71 130 0 0 0
574 71 131 0.1081 0.0091 0.4102
575 71 132 0.0916 0 0.338
576 71 134 0.0282 0 0.2875
577 71 135 0 0 0.095
578 71 136 0.08 0 0.363
579 71 137 0.055 0 0.1718
580 71 140 0 0 0.2218
581 71 143 0.0268 0 0.2923
582 71 145 0.0305 0 0.1327
583 71 146 0 0 0.0395
584 71 147 0.0247 0 0.2243
585 71 152 0.047 0 0.351
586 71 155 0 0 0.3915
587 71 156 0 0 0.0926
588 71 157 0.0577 0 0.3515
589 71 164 0.0526 0 0.2985
590 71 165 0.0095 0 0.2599
591 71 166 0.0378 0 0.2508
592 71 167 0.0738 0 0.3035
593 71 168 0.035 0 0.2888
594 71 S1 0.0702 0 0.4295
595 71 S25 0 0 0.2697
596 71 S27 0 0 0.1502
597 71 S28 0.0695 0 0.2732
598 71 S29 0 0 0.1674
599 71 S30 0.1304 0 0.3668
600 71 S31 0.0887 0 0.332
601 71 S36 0.0708 0 0.4157
602 71 S40 0.0503 0 0.4209
603 71 S41 0 0 0.3259
604 71 S42 0 0 0.1454
605 71 S47 0.1098 0 0.4802
606 71 S51 0 0 0.1552
607 71 S53 0.0727 0 0.3534
608 71 S55 0.0223 0 0.1849
609 71 S60 0.1344 0 0.4006
610 71 S64 0.0853 0 0.3419
611 71 S66 0.004 0 0.2322
612 71 S76 0.1604 0.0305 0.4481
613 71 103 0.0211 0 0.26
614 71 104 0.0321 0 0.2645
615 71 114 0.0942 0 0.4845
616 71 115 0.0317 0 0.1505
617 71 116 0.0291 0 0.1657
618 71 118 0.004 0 0.2913
619 71 119 0.055 0 0.3271
620 71 120 0 0 0.0999
621 71 121 0.1032 0.0028 0.3288
622 71 148 0.0835 0 0.4307
623 71 149 0.0291 0 0.2822
624 71 151 0 0 0.2535
625 71 153 0 0 0
626 71 154 0 0 0.1571
627 71 162 0.065 0 0.2702
628 71 163 0.0371 0 0.4346
629 71 169 0.1501 0 0.6539
630 71 170 0.1397 0 0.3714
631 71 171 0.0456 0 0.228
632 71 172 0.0692 0 0.327
633 71 S100 0.0618 0 0.3174
634 71 S101 0.0646 0 0.2346
635 71 S11 0.0696 0 0.364
636 71 S12 0.1489 0 0.4759
637 71 S13 0.0201 0 0.1969
638 71 S14 0.0042 0 0.1689
639 71 S15 0 0 0.0983
640 71 S19 0 0 0.0384
641 71 S20 0.0195 0 0.1779
642 71 S21 0.1099 0 0.3861
643 71 S22 0 0 0.1596
644 71 S26 0.0618 0 0.2592
645 71 S38 0 0 0.1613
646 71 S4 0 0 0.1053
647 71 S44 0.0246 0 0.3876
648 71 S45 0 0 0.2021
649 71 S46 0 0 0.0256
650 71 S52 0.0931 0 0.2681
651 71 S58 0 0 0.1386
652 71 S6 0.0084 0 0.1504
653 71 S61 0 0 0.0867
654 71 S62 0 0 0.1731
655 71 S67 0.0689 0 0.2892
656 71 S68 0.0263 0 0.2226
657 71 S69 0 0 0.1136
658 71 S75 0.0758 0 0.3743
659 71 S79 0.0417 0 0.285
660 71 S80 0.0023 0 0.3397
661 71 S82 0.0671 0 0.2685
662 71 S83 0.0015 0 0.2751
663 71 S85 0 0 0.2856
664 71 S90 0.0635 0 0.263
665 71 S93 0.0938 0.017 0.3588
666 71 S95 0.037 0 0.2641
667 71 S97 0 0 0.2588
668 72 73 0 0 0.1135
669 72 74 0.1158 0 0.4175
670 72 75 0 0 0.2725
671 72 76 0 0 0.0357
672 72 77 0.0537 0 0.2506
673 72 78 0.0376 0 0.2348
674 72 79 0.0384 0 0.3234
675 72 80 0 0 0.034
676 72 81 0 0 0
677 72 82 0.1069 0 0.5056
678 72 84 0.0285 0 0.1537
679 72 85 0.0292 0 0.1785
680 72 86 0 0 0.2414
681 72 87 0 0 0
682 72 88 0.0333 0 0.2399
683 72 89 0.0351 0 0.2511
684 72 90 0 0 0.131
685 72 91 0 0 0.2144
686 72 92 0.1818 0.0586 0.4915
687 72 93 0 0 0.0879
688 72 94 0 0 0
689 72 95 0 0 0.24
690 72 96 0.099 0 0.3908
691 72 97 0.1051 0 0.4868
692 72 98 0.0501 0 0.2865
693 72 99 0 0 0.1505
694 72 100 0.1658 0.0136 0.5931
695 72 101 0.027 0 0.1631
696 72 39 0 0 0.2633
697 72 40 0 0 0.4947
698 72 43 0.1201 0 0.5616
699 72 44 0.1479 0 0.529
700 72 45 0 0 0.1862
701 72 46 0.0709 0.0055 0.2596
702 72 47 0.0323 0 0.1874
703 72 48 0 0 0.0779
704 72 49 0.0543 0 0.2572
705 72 51 0 0 0.1896
706 72 52 0.0032 0 0.3019
707 72 53 0 0 0.1486
708 72 54 0.0782 0 0.4332
709 72 55 0 0 0.3453
710 72 56 0.1494 0.0162 0.5051
711 72 57 0.0662 0 0.2805
712 72 58 0 0 0.1933
713 72 59 0.1069 0 0.5515
714 72 60 0.0452 0 0.2782
715 72 61 0.0669 0 0.3203
716 72 62 0.0593 0 0.2637
717 72 63 0.0525 0 0.311
718 72 64 0 0 0.1348
719 72 65 0 0 0.2155
720 72 67 0.1909 0 0.7691
721 72 68 0 0 0.1317
722 72 69 0 0 0.2241
723 72 192 0.0895 0 0.5548
724 72 193 0 0 0.2058
725 72 194 0.0792 0 0.4368
726 72 195 0.0759 0 0.3888
727 72 196 0 0 0.1682
728 72 198 0.1608 0 0.628
729 72 206 0.078 0 0.2789
730 72 207 0.1233 0 0.4932
731 72 208 0.0038 0 0.3106
732 72 224 0.0292 0 0.2424
733 72 225 0 0 0.2131
734 72 226 0.0635 0 0.3989
735 72 227 0.0328 0 0.2502
736 72 228 0.1387 0 0.3535
