"","iter","comparisons","p.vals"
"314","45","value and variable and LOCUS","0.0492968977018185"
"315","45","hobs and Bay and locus","0.336659875125563"
"316","46","Hs and GRP and LOCUS","0.0529223551566082"
"317","46","EVENNESS and GRP and LOCUS","0.297414757528622"
"318","46","Ht and GRP and LOCUS","0.0529223551566082"
"319","46","Fis and GRP and LOCUS","0.635705452703702"
"320","46","SHANNON_IDX and GRP and LOCUS","0.0128264273395238"
"321","46","value and variable and LOCUS","0.0492968977018185"
"322","46","hobs and Bay and locus","0.336659875125563"
"323","47","Hs and GRP and LOCUS","0.0315051460255402"
"324","47","EVENNESS and GRP and LOCUS","0.191803643784121"
"325","47","Ht and GRP and LOCUS","0.0315051460255402"
"326","47","Fis and GRP and LOCUS","0.485521566081148"
"327","47","SHANNON_IDX and GRP and LOCUS","0.0467546762950518"
"328","47","value and variable and LOCUS","0.0492968977018185"
"329","47","hobs and Bay and locus","0.336659875125563"
"330","48","Hs and GRP and LOCUS","0.138554206358717"
"331","48","EVENNESS and GRP and LOCUS","0.336659875125563"
"332","48","Ht and GRP and LOCUS","0.138554206358717"
"333","48","Fis and GRP and LOCUS","0.226855612372603"
"334","48","SHANNON_IDX and GRP and LOCUS","0.0623614661317107"
"335","48","value and variable and LOCUS","0.0492968977018185"
"336","48","hobs and Bay and locus","0.336659875125563"
"337","49","Hs and GRP and LOCUS","0.0733860569923959"
"338","49","EVENNESS and GRP and LOCUS","0.0185022682200062"
"339","49","Ht and GRP and LOCUS","0.0733860569923959"
"340","49","Fis and GRP and LOCUS","0.781616286897203"
"341","49","SHANNON_IDX and GRP and LOCUS","0.0610994809603327"
"342","49","value and variable and LOCUS","0.0492968977018185"
"343","49","hobs and Bay and locus","0.336659875125563"
"344","50","Hs and GRP and LOCUS","0.0405334249797832"
"345","50","EVENNESS and GRP and LOCUS","0.0953107737881653"
"346","50","Ht and GRP and LOCUS","0.0405334249797832"
"347","50","Fis and GRP and LOCUS","0.931621943810032"
"348","50","SHANNON_IDX and GRP and LOCUS","0.0112757939473318"
"349","50","value and variable and LOCUS","0.0492968977018185"
"350","50","hobs and Bay and locus","0.336659875125563"
"351","51","Hs and GRP and LOCUS","0.0934270249360549"
"352","51","EVENNESS and GRP and LOCUS","0.0897637063704031"
"353","51","Ht and GRP and LOCUS","0.0934270249360549"
"354","51","Fis and GRP and LOCUS","0.835459881448"
"355","51","SHANNON_IDX and GRP and LOCUS","0.0448561785358023"
"356","51","value and variable and LOCUS","0.0492968977018185"
"357","51","hobs and Bay and locus","0.336659875125563"
"358","52","Hs and GRP and LOCUS","0.0131188277852148"
"359","52","EVENNESS and GRP and LOCUS","0.336659875125563"
"360","52","Ht and GRP and LOCUS","0.0131188277852148"
"361","52","Fis and GRP and LOCUS","0.869799821343359"
"362","52","SHANNON_IDX and GRP and LOCUS","0.00276220615651769"
"363","52","value and variable and LOCUS","0.0492968977018185"
"364","52","hobs and Bay and locus","0.336659875125563"
"365","53","Hs and GRP and LOCUS","0.0487299356050326"
"366","53","EVENNESS and GRP and LOCUS","0.0828379097643501"
"367","53","Ht and GRP and LOCUS","0.0487299356050326"
"368","53","Fis and GRP and LOCUS","0.455439844666619"
"369","53","SHANNON_IDX and GRP and LOCUS","0.0189021692495017"
"370","53","value and variable and LOCUS","0.0492968977018185"
"371","53","hobs and Bay and locus","0.336659875125563"
"372","54","Hs and GRP and LOCUS","0.00536564620896891"
"373","54","EVENNESS and GRP and LOCUS","0.164790383284819"
"374","54","Ht and GRP and LOCUS","0.00536564620896891"
"375","54","Fis and GRP and LOCUS","0.626823123978229"
"376","54","SHANNON_IDX and GRP and LOCUS","0.00193294950560112"
"377","54","value and variable and LOCUS","0.0492968977018185"
"378","54","hobs and Bay and locus","0.336659875125563"
"379","55","Hs and GRP and LOCUS","0.0201528883399488"
"380","55","EVENNESS and GRP and LOCUS","0.199148273471456"
"381","55","Ht and GRP and LOCUS","0.0201528883399488"
"382","55","Fis and GRP and LOCUS","0.886260168370955"
"383","55","SHANNON_IDX and GRP and LOCUS","0.0228997154167874"
"384","55","value and variable and LOCUS","0.0492968977018185"
"385","55","hobs and Bay and locus","0.336659875125563"
"386","56","Hs and GRP and LOCUS","0.0143006145659268"
"387","56","EVENNESS and GRP and LOCUS","0.0487299356050326"
"388","56","Ht and GRP and LOCUS","0.0143006145659268"
"389","56","Fis and GRP and LOCUS","0.735758882342885"
"390","56","SHANNON_IDX and GRP and LOCUS","0.000316669167522092"
"391","56","value and variable and LOCUS","0.0492968977018185"
"392","56","hobs and Bay and locus","0.336659875125563"
"393","57","Hs and GRP and LOCUS","0.0649600963068597"
"394","57","EVENNESS and GRP and LOCUS","0.123252075180644"
"395","57","Ht and GRP and LOCUS","0.0649600963068597"
"396","57","Fis and GRP and LOCUS","0.662627266206845"
"397","57","SHANNON_IDX and GRP and LOCUS","0.0649600963068597"
"398","57","value and variable and LOCUS","0.0492968977018185"
"399","57","hobs and Bay and locus","0.336659875125563"
"400","58","Hs and GRP and LOCUS","0.0364205813083916"
"401","58","EVENNESS and GRP and LOCUS","0.188222735655346"
"402","58","Ht and GRP and LOCUS","0.0364205813083916"
"403","58","Fis and GRP and LOCUS","0.938448064449895"
"404","58","SHANNON_IDX and GRP and LOCUS","0.0623614661317107"
"405","58","value and variable and LOCUS","0.0492968977018185"
"406","58","hobs and Bay and locus","0.336659875125563"
"407","59","Hs and GRP and LOCUS","0.0704686542640804"
"408","59","EVENNESS and GRP and LOCUS","0.0173512652366645"
"409","59","Ht and GRP and LOCUS","0.0704686542640804"
"410","59","Fis and GRP and LOCUS","0.412814903922792"
"411","59","SHANNON_IDX and GRP and LOCUS","0.0364205813083916"
"412","59","value and variable and LOCUS","0.0492968977018185"
"413","59","hobs and Bay and locus","0.336659875125563"
"414","60","Hs and GRP and LOCUS","0.218612540577137"
"415","60","EVENNESS and GRP and LOCUS","0.226855612372603"
"416","60","Ht and GRP and LOCUS","0.218612540577137"
"417","60","Fis and GRP and LOCUS","0.146842387825435"
"418","60","SHANNON_IDX and GRP and LOCUS","0.0265640143500164"
"419","60","value and variable and LOCUS","0.0492968977018185"
"420","60","hobs and Bay and locus","0.336659875125563"
"421","61","Hs and GRP and LOCUS","0.0214837703764402"
"422","61","EVENNESS and GRP and LOCUS","0.109524607815211"
"423","61","Ht and GRP and LOCUS","0.0214837703764402"
"424","61","Fis and GRP and LOCUS","0.968454457111835"
"425","61","SHANNON_IDX and GRP and LOCUS","0.0342026994087168"
"426","61","value and variable and LOCUS","0.0492968977018185"
"427","61","hobs and Bay and locus","0.336659875125563"
"428","62","Hs and GRP and LOCUS","0.0598617972613097"
"429","62","EVENNESS and GRP and LOCUS","0.426686588804465"
"430","62","Ht and GRP and LOCUS","0.0598617972613097"
"431","62","Fis and GRP and LOCUS","0.501049380114235"
