wfgenepop_20_Sept2020,,,,,,,,,,,,,,,,,,,,
J42,,"WF22,","PAM27,","PAM79,","WF27,","WF16,","WF33,","WF3,","WF517,","WF196,","WF223,","WF421,","A441,","PAM21,","Psy087,","Psy022,","WF06,","WF12,","WF01,",WF32
"S62,",117119,191207,174178,180188,245313,236250,252320,166176,257271,187187,269275,284292,188188,213225,156161,235243,252260,260264,254278,217291
"S64,",119119,183191,174188,178208,325333,230236,332340,174194,247279,0,251259,280292,188188,0,161163,0,244244,256264,278278,217291
"S66,",117125,183215,174176,180216,265313,264280,272320,156168,283301,187195,269277,268292,182182,215217,161161,235243,0,256260,262262,221291
"S67,",117139,191251,174174,182190,297309,258286,0,0,251279,163195,245245,0,178180,0,155161,235243,252256,260264,254254,221221
"S68,",119127,179247,174176,164216,309357,236238,316364,168168,263299,167191,271277,268292,180186,211213,161161,0,252260,260264,254254,215249
"S69,",117137,211271,180180,180188,309337,240250,316344,172176,259289,163223,265271,284292,186188,0,161161,0,256264,256260,250274,213253
"S74,",117129,179187,0,0,309317,242250,316324,156168,0,0,0,292304,182196,211217,161163,0,0,256260,250286,0
"S75,",117123,215235,0,180180,265265,232240,272336,168168,0,187195,259265,0,180184,213219,161163,0,0,260260,0,217217
"S76,",117121,231235,162174,154184,245265,234240,252272,168168,0,187191,245259,0,182182,217219,161161,0,264264,260260,242242,221247
"S79,",111121,179263,160174,206220,261333,236238,268340,162168,255271,167191,255273,0,178196,207213,161161,0,0,256260,242298,215219
"S80,",117131,163243,166180,166186,269325,236258,276332,168168,247279,159159,255275,276324,182186,0,161161,0,244256,256256,254286,215215
"S82,",121143,195275,166176,206216,249249,230240,0,168168,247293,167183,265281,256288,178182,211219,161163,0,256256,260260,254266,239249
"S83,",117117,191271,174174,154170,277313,234238,280320,166168,271301,183195,0,236292,180180,219219,161161,251251,260260,256264,234270,0
"S85,",119143,179235,178178,180186,265309,238250,272316,168170,0,167191,0,288312,180184,211229,161161,0,0,260260,234286,215215
"S87,",121125,166211,174178,156200,317341,0,324348,0,0,0,0,276300,178188,215219,161161,243243,256260,256260,262306,0
"S90,",111125,231283,178180,184206,289341,238260,296348,168184,0,183191,281281,0,180186,0,161163,0,264264,260264,0,215257
"S93,",117139,179247,176176,144154,261317,238250,268324,168168,271305,167187,261269,276300,182188,0,156161,227235,244244,256260,278278,251291
"S94,",117123,179251,0,0,313317,234240,0,168168,0,179195,0,276288,182184,0,156161,0,0,256260,0,221257
