"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"101","Shin","WF12",4,0.785976687796831,0.58,0.5739,0.5739,-0.0107,0.983652560552111,0.5682,2.31588698471515
"102","Shin","WF32",15,0.6665676927564,0.64,0.8245,0.8245,0.2238,2.02589226379945,0.8144,5.38793103448276
"103","Mt_2016_1","J42",14,0.7635327353671,0.9444,0.9085,0.9085,-0.0396,2.39845146101493,0.884259259259259,8.64
"104","Mt_2016_1","WF22",23,0.864508494622871,0.9444,0.9706,0.9706,0.0269,3.00080045270688,0.942901234567901,17.5135135135135
"105","Mt_2016_1","PAM27",10,0.753446492683127,0.8235,0.8327,0.8327,0.011,1.88463480152372,0.807958477508651,5.20720720720721
"106","Mt_2016_1","PAM79",22,0.91842124020032,1,0.9743,0.9743,-0.0264,3.00630085929358,0.94636678200692,18.6451612903226
"107","Mt_2016_1","WF16",10,0.668488683055379,0.8824,0.8051,0.8051,-0.0959,1.85960248878597,0.783737024221453,4.624
"108","Mt_2016_1","WF33",19,0.844444438066996,0.9412,0.9559,0.9559,0.0154,2.77961287433535,0.927335640138408,13.7619047619048
"109","Mt_2016_1","WF3",9,0.725901728081486,0.8333,0.8301,0.8301,-0.0039,1.91159456104752,0.807098765432099,5.184
"110","Mt_2016_1","WF517",18,0.823110217609774,0.9412,0.9485,0.9485,0.0078,2.71141987293779,0.920415224913495,12.5652173913043
"111","Mt_2016_1","WF196",12,0.82040963821951,0.7778,0.902,0.902,0.1377,2.24213479837865,0.873456790123457,7.90243902439024
"112","Mt_2016_1","WF223",15,0.856280995352061,0.9444,0.9363,0.9363,-0.0087,2.55565718450413,0.910493827160494,11.1724137931034
"113","Mt_2016_1","WF421",10,0.793210894854664,1,0.8718,0.8718,-0.1471,2.05145726366006,0.843195266272189,6.37735849056604
"114","Mt_2016_1","A441",9,0.895396411638449,1,0.8807,0.8807,-0.1354,2.05872126705709,0.859567901234568,7.12087912087912
"115","Mt_2016_1","PAM21",9,0.813444331852242,0.7778,0.8431,0.8431,0.0775,1.87512185601982,0.817901234567901,5.49152542372881
"116","Mt_2016_1","PSY087",6,0.591497925754656,0.7222,0.5915,0.5915,-0.221,1.2006526023275,0.578703703703704,2.37362637362637
"117","Mt_2016_1","PSY022",4,0.773219288249143,0.75,0.5375,0.5375,-0.3953,0.893198758895213,0.52734375,2.11570247933884
"118","Mt_2016_1","WF12",3,0.85052793160043,0.7222,0.5997,0.5997,-0.2044,0.980989682445315,0.58641975308642,2.41791044776119
"119","Mt_2016_1","WF32",9,0.768176348783358,0.5,0.8366,0.8366,0.4023,1.84694046829784,0.804012345679012,5.10236220472441
"120","Mt_2016_2","J42",16,0.622952492517335,0.9474,0.883,0.883,-0.0728,2.39650430854657,0.861495844875346,7.22
"121","Mt_2016_2","WF22",23,0.871375378344462,0.9474,0.9693,0.9693,0.0226,2.99880451885858,0.943213296398892,17.609756097561
"122","Mt_2016_2","PAM27",11,0.696360113740885,0.7778,0.8415,0.8415,0.0757,1.99927955380352,0.816358024691358,5.4453781512605
"123","Mt_2016_2","PAM79",20,0.833238891961242,0.9444,0.9559,0.9559,0.012,2.81577558601103,0.929012345679012,14.0869565217391
"124","Mt_2016_2","WF16",11,0.70090952687796,0.9474,0.8348,0.8348,-0.1349,1.99038093900729,0.815789473684211,5.42857142857143
"125","Mt_2016_2","WF33",21,0.804800139351943,0.9444,0.9575,0.9575,0.0137,2.87074125195343,0.930555555555556,14.4
"126","Mt_2016_2","WF3",9,0.476652386871198,0.6842,0.6257,0.6257,-0.0935,1.45687763915431,0.610803324099723,2.56939501779359
"127","Mt_2016_2","WF517",21,0.886654260580946,0.8889,0.969,0.969,0.0826,2.92378409931134,0.939814814814815,16.6153846153846
"128","Mt_2016_2","WF196",12,0.856214774194339,0.8947,0.9123,0.9123,0.0192,2.32654746325426,0.887811634349031,8.91358024691358
"129","Mt_2016_2","WF223",13,0.87149585280667,1,0.9262,0.9262,-0.0797,2.40492733944556,0.897777777777778,9.78260869565217
"130","Mt_2016_2","WF421",13,0.885365951064714,1,0.9394,0.9394,-0.0645,2.44130263780762,0.902777777777778,10.2857142857143
"131","Mt_2016_2","A441",9,0.811692356614435,0.7647,0.8585,0.8585,0.1092,1.95079187736122,0.830449826989619,5.89795918367347
